idx_in_test_after_cleaning,text,label
295,"    public ArrayList<ErrorMsg> getWarnings() {
        return _parser.getWarnings();
    }



[COMMENT]
Get a list of all compile warning messages",1
298,"    public int atAdPos(final int pos) {
        final int take_int = (int) Math.floor((pos + 1) / adfrequency);
        Log.d(""atAdPosE2"", take_int + """");
        return take_int;
    }


[COMMENT]
to display the accumulator for the Ad position",0
361,"    public List getAnchorHRefs(boolean duplicate) {
        if (duplicate) {
            return this.htmlHandler.getAllAHRefs();
        }
        return this.htmlHandler.getAHRefs();
    }



[COMMENT]
Get Anchor Hrefs",1
869,"	public Index parseAndUpdateIndex(List<JaxbRoot<XMLEntityMappings>> mappings, Index annotationIndex) {
		List<XMLEntityMappings> list = new ArrayList<XMLEntityMappings>( mappings.size() );
		for ( JaxbRoot<XMLEntityMappings> jaxbRoot : mappings ) {
			list.add( jaxbRoot.getRoot() );
		}
		return new EntityMappingsMocker( list, annotationIndex, metadata.getServiceRegistry() ).mockNewIndex();
	}


[COMMENT]
Parses the given xml configuration files and returns a updated annotation index",0
915,"	private boolean isBreakOnOpcode(Integer opcode) {
		boolean shouldBreak = false;
		if (config.isBreakOnPingPong()) {
			// break on every message type
			shouldBreak = true;
		} else {
			// break only on non-ping/pong
			boolean isPing = opcode.equals(WebSocketMessage.OPCODE_PING);
			boolean isPong = opcode.equals(WebSocketMessage.OPCODE_PONG);
			
			if (!isPing && !isPong) {
				shouldBreak = true;
			}
		}
		return shouldBreak;
	}


[COMMENT]
Check out if breakpoint should be applied on given  WebSocketMessageDTO#opcode.",0
58,"    public final DBCompareColExpr in(Collection<?> values)
    {
        if (values==null || values.isEmpty())
            return cmp(DBCmpType.EQUAL, null);
        // create expression
        return cmp(DBCmpType.IN, values);
    }



[COMMENT]
Creates and returns an expression for the SQL ""in"" operator.",1
933,"    public String getAuthor() {
        return this.author;
    }



[COMMENT]
Return the author",1
320,"  public static boolean isSameType(MajorType type1, MajorType type2) {
    return isSameTypeAndMode(type1, type2) &&
           type1.getScale() == type2.getScale() &&
           type1.getPrecision() == type2.getPrecision();
  }


[COMMENT]
Check if two ""core"" types are the same, ignoring subtypes and children.",0
125,"        protected int intersectsValidDropTarget(int id) {
            LauncherAccessibilityDelegate delegate =
                    LauncherAppState.getInstance().getAccessibilityDelegate();
            if (delegate == null) {
                return -1;
            }

            int y = id % mCountY;
            int x = id / mCountY;
            LauncherAccessibilityDelegate.DragInfo dragInfo = delegate.getDragInfo();

            if (dragInfo.dragType == DragType.WIDGET) {
                // For a widget, every cell must be vacant. In addition, we will return any valid
                // drop target by which the passed id is contained.
                boolean fits = false;

                // These represent the amount that we can back off if we hit a problem. They
                // get consumed as we move up and to the right, trying new regions.
                int spanX = dragInfo.info.spanX;
                int spanY = dragInfo.info.spanY;

                for (int m = 0; m < spanX; m++) {
                    for (int n = 0; n < spanY; n++) {

                        fits = true;
                        int x0 = x - m;
                        int y0 = y - n;

                        if (x0 < 0 || y0 < 0) continue;

                        for (int i = x0; i < x0 + spanX; i++) {
                            if (!fits) break;
                            for (int j = y0; j < y0 + spanY; j++) {
                                if (i >= mCountX || j >= mCountY || mOccupied[i][j]) {
                                    fits = false;
                                    break;
                                }
                            }
                        }
                        if (fits) {
                            return x0 * mCountY + y0;
                        }
                    }
                }
                return -1;
            } else {
                // For an icon, we simply check the view directly below
                View child = getChildAt(x, y);
                if (child == null || child == dragInfo.item) {
                    // Empty cell. Good for an icon or folder.
                    return id;
                } else if (dragInfo.dragType != DragType.FOLDER) {
                    // For icons, we can consider cells that have another icon or a folder.
                    ItemInfo info = (ItemInfo) child.getTag();
                    if (info instanceof AppInfo || info instanceof FolderInfo ||
                            info instanceof ShortcutInfo) {
                        return id;
                    }
                }
                return -1;
            }
        }


[COMMENT]
Find the virtual view id corresponding to the top left corner of any drop region by which the passed id is contained.",0
537,"    public boolean hasCorrelation() {
      return !mapCorToCorRel.isEmpty();
    }


[COMMENT]
Returns whether there are any correlating variables in this statement.",0
957,"	public static String removeTags(String str)
	{
		return TAG_REGEXP.matcher(str).replaceAll("""");
	}


[COMMENT]
Removes all tags from the given `str`.",0
808,"	private ZapTextField getTxtProxyPort() {
		if (txtProxyPort == null) {
			txtProxyPort = new ZapTextField();
		}
		return txtProxyPort;
	}


[COMMENT]
This method initializes txtProxyPort",0
979,"    public long get(WithAttributes withAttributes) {
        return withAttributes.getAttributes().get(this);
    }



[COMMENT]
Extracts the attribute map from the specified  WithAttributes and returns the value of this attribute from the map.",1
648,"    public int getPosition() {
        return currentPosition;

    }



[COMMENT]
Returns the position where the handler is currently, or where it is heading right now.",1
763,"    protected Object convertBits(Column column, Field fieldDefn, Object data, int numBytes) {
        return convertValue(column, fieldDefn, data, new byte[0], (r) -> {
            if (data instanceof Boolean) {
                Boolean value = (Boolean) data;
                r.deliver(new byte[] { value.booleanValue() ? (byte) 1 : (byte) 0 });
            }
            else if (data instanceof Short) {
                Short value = (Short) data;
                ByteBuffer buffer = ByteBuffer.allocate(Short.BYTES);
                buffer.order(ByteOrder.LITTLE_ENDIAN);
                buffer.putShort(value.shortValue());
                r.deliver(buffer.array());
            }
            else if (data instanceof Integer) {
                Integer value = (Integer) data;
                ByteBuffer buffer = ByteBuffer.allocate(Integer.BYTES);
                buffer.order(ByteOrder.LITTLE_ENDIAN);
                buffer.putInt(value.intValue());
                r.deliver(buffer.array());
            }
            else if (data instanceof Long) {
                Long value = (Long) data;
                ByteBuffer buffer = ByteBuffer.allocate(Long.BYTES);
                buffer.order(ByteOrder.LITTLE_ENDIAN);
                buffer.putLong(value.longValue());
                r.deliver(buffer.array());
            }
            else if (data instanceof byte[]) {
                byte[] bytes = (byte[]) data;
                if (bytes.length == 1) {
                    r.deliver(bytes);
                }
                if (byteOrderOfBitType() == ByteOrder.BIG_ENDIAN) {
                    // Reverse it to little endian ...
                    int i = 0;
                    int j = bytes.length - 1;
                    byte tmp;
                    while (j > i) {
                        tmp = bytes[j];
                        bytes[j] = bytes[i];
                        bytes[i] = tmp;
                        ++i;
                        --j;
                    }
                }
                r.deliver(padLittleEndian(numBytes, bytes));
            }
            else if (data instanceof BitSet) {
                byte[] bytes = ((BitSet) data).toByteArray();
                r.deliver(padLittleEndian(numBytes, bytes));
            }
        });
    }


[COMMENT]
Converts a value object for an expected JDBC type of  Types#BIT of length 2+.",0
5,"    public Struct ceDataAttribute() {
        return recordParser.data();
    }


[COMMENT]
Construct the value of the data attribute of CloudEvents.",0
710,"    public static <T> T getObject(Heap heap, JsonValue name, Class<T> type) throws HeapException {
        if (name.isNull()) {
            return null;
        }
        return getRequiredObject(heap, name, type);
    }



[COMMENT]
Retrieves an object from a heap with the specified name and type, or  null if the name is  null.",1
863,"    public ApiResponse<Client> testClientModelWithHttpInfo(Client body) throws ApiException {
        okhttp3.Call localVarCall = testClientModelValidateBeforeCall(body, null, null);
        Type localVarReturnType = new TypeToken<Client>(){}.getType();
        return localVarApiClient.execute(localVarCall, localVarReturnType);
    }


[COMMENT]
To test \&quot;client\&quot; model",0
